View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,Accepts Credit Card?,CAGE Code,Congr. Dist.,County Code,DUNS Number,Fiscal Year Ends,In SAM?,Incorp. Country,Main/Branch,Metro Stat Area,WWW Page URL,Year Established,8(a) Entrance Date,8(a) Exit Date,HUBZone Certification Date,HUBZone Exit Date,Legal Structure,SDB Entrance Date,SDB Exit Date,unknown,unknown,Special Equipment/Materials,"NAICS, All (for which firm is small)"
1,"UNITED MACHINE & METAL FAB, INC.",,BARRY Harris Harris,,104 SOMERSET DR,,CONOVER,NC,28613-9217,,Yes,4VQP9,10,35,88107230,1201,Y,USA,Main,3290,,1991,,,,,,,,,,,332710
2,Unique Transportation Inc ,,MICHELLE  C Johnson,,3354 16TH AVE SE STE 206 ,,CONOVER,NC,28613-9224,"General Transportation Long Haul, Truckload and LTL, 3pl, Warehousing,",No,4XCT7,10,35,1665582,1201,Y,USA,Main,3290,https://www.uniquetransportation.com,1999,,,,,SC,,,"Freight Broker, 3PL, Local Trucking, Long-Distance, Truckload, LTL",,,484121
3,"Bumgarner Oil Company, Inc. ",Cubbard Express ,Paul D Auten,,2004 Highland Ave NE ,,Hickory,NC,28601-4336,,Yes,07HC9,5,35,24621930,901,Y,USA,Main,3290,,1954,,,,,SC,,,,,,424720
4,"HOMEFIRST HEALTHCARE SERVICES, LLC.",UNIFOUR NURSING,DARIUS NOURI,,805 W 25TH ST,,NEWTON,NC,28658-2852,,Yes,68F56,10,35,199249038,1201,Y,USA,Main,3290,http://www.unifournursing.com,2010,,,,,LL,,,,,,"621610, 624120"
5,OPTICONCEPTS INC.,,CHRIS  PONS,Business Unit Manager,925 B OLD LENOIR RD,,HICKORY,NC,28601-3446,"Manufacturer of American fiber optic test equipment including optical time domain reflectometer (OTDR) and back reflection tester; specialize in custom fiber optic applications including test fibers, launch cords, fiber delay lines, and simulation system.",Yes,1YT75,10,35,930193508,1201,Y,USA,Main,3290,http://www.opticoncepts.com,2000,,,,,SC,,,"back reflection test, fiber, fiber optic, mode conditioner, delay line, launch cord, switch, test set, fiber box, attenuator, OTDR, OEM, cable, simulation system, time domain, power meter, reflectometer, optical, optical fiber, wavelength, multimode, test","test equipment, test fiber",Test equipment designed and built in the USA. We are able to custom spool various lengths of optical fiber onto compact spools in addition to our expertise in designing components for fiber systems.,"334210, 334220, 334290, 334515, 334516, 334519, 541330, 541330, 541330, 541330"
6,"VALLEY RENTAL CENTERS, INC. ",,Mary Ann Nelson,,810 9th st ,,hickory,NC,28602-3205,,Yes,6ZP37,5,35,947346896,1201,Y,USA,Branch,3290,www.valleyrental.com,1996,,,,,,,,,,,532310
7,"SOLOMON ENGINEERING, INC. ",,Rick M Harris,PRESIDENT,340 9 St SE ,,Hickory,NC,28602-4038,Research and Engineering Aerospace parts,Yes,1PE57,5,35,22754092,1201,Y,USA,Main,3290,http://www.seitechnologies.com,1995,,,,,,,,"AEROSPACE, CAD, CNC, DESIGN, EDM, MACHINE SHOPS, MACHINING, PROTOTYPE, STAMPING, TOOL AND DIE",,,"333511, 333514, 336413, 488190"
8,"Ziegler Painting, Incorporated ",Fresh Coat Painters of Lake Norman ,Suzan Ziegler,,3293 Bass Dr ,,Sherrills Ford,NC,28673-7712,,Yes,75XS2,10,35,79456931,1001,Y,USA,Main,3290,,2013,,,,,SC,,,"interior, exterior, residential, commercial, painting, wall covering, wallpaper removal, popcorn ceiling, trim work, deck stain, paint, construction",,,238320
9,CAROLINA AMPUTEE & ORTHOTIC CENTER ,,Anna Beth Smith,,2760 TATE BLVD SE ,,HICKORY,NC,28602-1448,,Yes,662W6,10,35,10308808,1201,Y,USA,Main,3290,www.carolinaamputee.com,1995,,,,,,,,,,,339113
10,"INNOVATIVE SCHOOL PARTNERS, L.L.P. ",,Jayme Linton,,4987 Abernethy Park Dr ,,Hickory,NC,28602-7236,,No,7A2H9,10,35,79655992,1201,Y,USA,Main,3290,,2012,,,,,,,,,,,611710
11,HOLIDAY INN EXPRESS ,Holiday Inn ,Cathy Newton,,2250 US Hwy 70 SE ,,HICKORY,NC,28602-5164,,Yes,75GZ6,10,35,9933029,1201,Y,USA,Main,3290,,1991,,,,,,,,,,,721110
12,Recycling Equipment Inc. ,,Dean Burrow,,2052 Industrial Dr ,,Newton,NC,28658-7703,,Yes,77Z98,10,35,72036408,1201,Y,USA,Main,3290,,2005,,,,,,,,,,,"333111, 333999"
13,"VAULT TECHNOLOGIES, INC. ",,Donald A Gemeinhardt,,5772 SELKIRK DR ,,HICKORY,NC,28601-8923,,No,7EK33,11,35,21377509,101,Y,USA,Main,3290,,2007,,,,,,,,,,,"611430, 611519, 611519, 611710"
