,Yelp,socrata,API,Average ratings,Total reviews,,,,
15017,1,1,,4,7,,,,
15034,0,0,0,,,,,,
15102,0,2,2,,,,,,No of starbucks locations per zipcode
15104,0,0,0,,,,,,
15106,0,0,0,,,,,,"Comparison between yelp, socrata and API"
15120,1,2,2,3,16,,,,
15122,0,0,1,,,,,,
15132,0,0,0,,,,,,
15136,0,0,0,,,,,,
15147,0,1,1,,,,,,
15201,0,0,0,,,,,,
15202,0,0,0,,,,,,
15203,1,1,1,4,16,,,,
15204,0,0,0,,,,,,
15205,0,3,3,,,,,,
15206,1,2,2,3,11,,,,
15207,0,0,0,,,,,,
15208,0,0,0,,,,,,
15209,0,0,0,,,,,,
15210,0,0,0,,,,,,
15211,0,0,0,,,,,,
15212,0,0,0,,,,,,
15213,3,3,3,3.666666667,11,,,,
15214,0,0,0,,,,,,
15215,0,0,0,,,,,,
15216,1,1,1,3,9,,,,
15217,2,2,2,3,14.5,,,,
15218,0,0,0,,,,,,
15219,2,5,5,4,9,,,,
15220,2,2,2,3.5,8,,,,
15221,0,0,0,,,,,,
15222,2,4,4,3,14.5,,,,
15223,0,0,0,,,,,,
15224,2,2,3,2.5,7,,,,
15226,0,0,0,,,,,,
15227,0,0,0,,,,,,
15228,1,1,1,3,5,,,,
15229,0,0,1,,,,,,
15231,0,0,0,,,,,,
15232,1,2,2,4,8,,,,
15233,0,0,0,,,,,,
15234,0,0,0,,,,,,
15235,0,1,3,,,,,,
15236,0,0,0,,,,,,
15238,0,2,2,,,,,,
15240,0,0,0,,,,,,
15241,0,2,1,,,,,,
15243,0,0,0,,,,,,
15250,0,0,0,,,,,,
15260,0,0,0,,,,,,
15261,0,0,0,,,,,,
15270,0,0,0,,,,,,
15272,0,0,0,,,,,,
15282,0,0,0,,,,,,
15289,0,0,0,,,,,,
18104,0,2,2,,,,,,
28012,0,0,1,,,,,,
28025,0,0,0,,,,,,
28026,0,0,0,,,,,,
28027,2,7,6,2.5,5.5,,,,
28070,0,0,0,,,,,,
28075,0,0,0,,,,,,
28078,0,5,5,,,,,,
28079,0,1,1,,,,,,
28104,0,2,2,,,,,,
28105,2,3,3,2.5,8,,,,
28106,0,0,0,,,,,,
28110,0,2,2,,,,,,
28120,0,0,0,,,,,,
28127,0,0,0,,,,,,
28134,2,2,2,3.5,16,,,,
28173,0,2,2,,,,,,
28202,3,3,3,3,15.66666667,,,,
28203,1,1,1,4,51,,,,
28204,2,3,3,3,16,,,,
28205,0,1,1,,,,,,
28206,0,0,0,,,,,,
28207,1,2,2,3,14,,,,
28208,3,8,8,2.666666667,23,,,,
28209,1,1,1,3,32,,,,
28210,0,0,0,,,,,,
28211,3,4,3,3.666666667,12.33333333,,,,
28212,0,0,0,,,,,,
28213,0,0,0,,,,,,
28214,1,0,0,3,3,,,,
28215,0,0,0,,,,,,
28216,1,3,3,3,11,,,,
28217,1,0,0,3,18,,,,
28219,0,0,0,,,,,,
28221,0,0,0,,,,,,
28223,0,1,2,,,,,,
28224,0,0,0,,,,,,
28226,1,2,2,2,6,,,,
28227,0,1,1,,,,,,
28233,0,0,0,,,,,,
28235,0,0,0,,,,,,
28244,1,1,1,3,10,,,,
28246,0,1,1,,,,,,
28251,0,0,0,,,,,,
28253,0,0,0,,,,,,
28255,0,0,0,,,,,,
28262,2,4,4,3,13.5,,,,
28263,0,0,0,,,,,,
28266,0,0,0,,,,,,
28269,1,1,1,4,10,,,,
28270,0,0,0,,,,,,
28271,0,0,0,,,,,,
28273,2,5,5,3,18,,,,
28274,0,0,0,,,,,,
28277,4,10,10,3,14,,,,
28278,0,2,2,,,,,,
28280,0,1,1,,,,,,
28281,0,0,0,,,,,,
28282,0,0,0,,,,,,
28285,1,0,0,2,10,,,,
28288,0,0,0,,,,,,
28297,0,0,0,,,,,,
28299,0,0,0,,,,,,
29204,0,0,0,,,,,,
29707,0,1,1,,,,,,
29708,1,3,3,3,23,,,,
29710,0,0,0,,,,,,
29715,0,1,1,,,,,,
29716,0,0,0,,,,,,
29732,0,3,3,,,,,,
39109,0,0,0,,,,,,
53175,0,0,0,,,,,,
