,no of businesses,Average ratings,avg review count
15017,8,3.5,12.5
15034,3,4,3.333333333
15102,1,2,4
15104,5,3.4,9.4
15106,46,3.413043478,9.347826087
15120,90,3.155555556,19.03333333
15122,26,3.5,9.923076923
15132,1,5,7
15136,21,3.666666667,6.476190476
15147,4,3.5,8.25
15201,142,3.795774648,32.27464789
15202,37,3.486486486,8.459459459
15203,258,3.406976744,25.95736434
15204,3,3.333333333,5.666666667
15205,49,3.326530612,11.89795918
15206,164,3.408536585,38.8597561
15207,19,3.894736842,21.42105263
15208,19,3.684210526,14.57894737
15209,15,3.6,17.06666667
15210,22,3.090909091,9.818181818
15211,38,3.289473684,29.94736842
15212,123,3.512195122,22.03252033
15213,243,3.296296296,26.43209877
15214,5,3.4,4.2
15215,31,3.838709677,11.93548387
15216,124,3.370967742,14.42741935
15217,191,3.392670157,28.21465969
15218,52,3.5,19.23076923
15219,141,3.425531915,17.58156028
15220,63,3.380952381,11.79365079
15221,30,3.433333333,12.86666667
15222,420,3.397619048,33.6547619
15223,6,4.333333333,10.33333333
15224,120,3.641666667,25.41666667
15226,42,3.523809524,16.42857143
15227,32,3.1875,7.46875
15228,62,3.564516129,18.90322581
15229,1,4,3
15231,2,1.5,3.5
15232,153,3.437908497,27.67320261
15233,33,3.575757576,25.78787879
15234,51,3.176470588,8.215686275
15235,4,3.5,5
15236,15,3.6,13.13333333
15238,51,3.215686275,16.11764706
15240,1,4,30
15241,16,3.625,10.5
15243,6,3.166666667,9.666666667
15250,1,1,3
15260,5,3.6,9.2
15261,2,3.5,9
15270,1,5,8
15272,3,4.666666667,108.6666667
15282,1,4,5
15289,26,3.346153846,31.15384615
18104,1,3,17
28012,54,3.203703704,10.62962963
28025,2,3.5,18.5
28026,2,3.5,3.5
28027,121,3.190082645,16.29752066
28070,1,3,10
28075,22,3.363636364,13.36363636
28078,29,3.517241379,11.34482759
28079,36,3.416666667,11.61111111
28104,52,3.615384615,12.67307692
28105,236,3.296610169,12.80508475
28106,3,3,5.666666667
28110,2,2.5,12
28120,11,3.454545455,7.090909091
28127,1,3,16
28134,135,3.237037037,11.61481481
28173,1,4,16
28202,451,3.350332594,32.70509978
28203,350,3.597142857,30.48285714
28204,198,3.474747475,29.64141414
28205,314,3.617834395,32.65286624
28206,58,3.413793103,20.77586207
28207,70,3.614285714,16.18571429
28208,163,2.969325153,24.55828221
28209,234,3.448717949,23.14102564
28210,162,3.382716049,22.35185185
28211,204,3.426470588,25.4754902
28212,67,3.119402985,7.268656716
28213,112,3.258928571,12.49107143
28214,46,2.913043478,17.91304348
28215,26,3.538461538,13.42307692
28216,115,3.069565217,12.92173913
28217,247,3.251012146,14.93117409
28219,2,3.5,29
28221,1,3,11
28223,3,4.333333333,5
28224,1,4,4
28226,135,3.311111111,15.88148148
28227,114,3.421052632,11.48245614
28233,1,4,6
28235,1,4,9
28244,7,3.285714286,35.42857143
28246,3,3.666666667,25
28251,1,1,3
28253,1,2,3
28255,2,3,5
28262,233,3.145922747,16.72103004
28263,43,3.186046512,21.88372093
28266,3,3.333333333,29
28269,117,3.264957265,11.05982906
28270,73,3.369863014,10.76712329
28271,1,4,4
28273,218,3.201834862,14.42201835
28274,1,3,7
28277,415,3.325301205,19.58554217
28278,14,3.285714286,12.78571429
28280,7,3.428571429,10.85714286
28281,2,3.5,52.5
28282,2,3.5,25
28285,5,2.8,11
28288,6,3.166666667,23.83333333
28297,1,5,3
28299,2,5,8
29204,1,2,31
29707,22,3.272727273,9.909090909
29708,112,3.3125,12.91071429
29710,5,3.4,28.6
29715,44,3.477272727,13.20454545
29716,2,2.5,5
29732,1,3,7
39109,1,2,12
53175,1,4,19
53527,9,3.222222222,6
53529,3,4.333333333,3.333333333
53532,17,3.705882353,9.235294118
53558,17,3.294117647,11.11764706
53562,167,3.353293413,16.68263473
53575,3,2,5.333333333
53589,2,3.5,12
53590,86,3.244186047,12.70930233
53593,40,3.525,12.925
53597,25,3.16,6.84
53598,7,3.571428571,10.14285714
53701,1,2,5
53702,3,4.333333333,50.66666667
53703,516,3.505813953,36.53100775
53704,298,3.322147651,20.0704698
53705,135,3.362962963,21.18518519
53706,20,3.7,8.9
53707,1,5,6
53708,1,5,4
53711,173,3.421965318,19.65895954
53713,92,3.369565217,11.82608696
53714,29,3.517241379,11.68965517
53715,123,3.430894309,20.43902439
53716,112,3.357142857,10.33928571
53717,96,3.375,16.45833333
53718,44,3.5,10.95454545
53719,243,3.259259259,13.57201646
53725,1,5,3
53726,11,3.545454545,12.45454545
53774,25,3.16,20.24
53925,2,4.5,8.5
55122,1,5,4
61801,147,3.401360544,20.06122449
61802,61,3.524590164,12.19672131
61803,8,3.375,19.875
61820,374,3.280748663,23.7459893
61821,5,3.2,25.2
61822,12,2.833333333,12.83333333
61824,1,4,5
61826,1,5,3
61874,16,3.3125,7.3125
68451,1,5,10
78409,1,3,11
85000,1,4,26
85001,7,3.428571429,13.42857143
85003,225,3.417777778,42.6
85004,417,3.486810552,60.26378897
85005,1,3,3
85006,178,3.730337079,44.58426966
85007,112,3.660714286,21.24107143
85008,210,3.380952381,22.0047619
85009,94,3.542553191,10.5
85012,198,3.54040404,61.74747475
85013,276,3.608695652,34.66304348
85014,265,3.660377358,41.45660377
85015,171,3.298245614,20.97076023
85016,702,3.548433048,37.502849
85017,111,3.288288288,11.27027027
85018,503,3.626242545,40.81312127
85019,36,3.527777778,13.36111111
85020,268,3.611940299,27.82835821
85021,201,3.437810945,15.66666667
85022,258,3.372093023,20.10852713
85023,149,3.32885906,21.13422819
85024,106,3.70754717,16.0754717
85027,275,3.465454545,17.81090909
85028,158,3.613924051,24.51898734
85029,175,3.348571429,17.52571429
85030,2,4,15
85031,44,2.954545455,8.954545455
85032,668,3.441616766,18.84281437
85033,71,2.774647887,9.61971831
85034,294,3.095238095,32.37755102
85035,67,2.746268657,11.40298507
85036,1,4,3
85037,64,3.375,15.078125
85038,2,4,10
85040,146,3.383561644,14.06164384
85041,67,3.328358209,12.14925373
85042,132,3.136363636,22.5
85043,65,2.876923077,7.984615385
85044,298,3.315436242,25.44966443
85045,3,4.333333333,9.333333333
85046,1,5,5
85048,223,3.488789238,19.66816144
85050,206,3.490291262,26.23786408
85051,202,3.267326733,20.80693069
85053,173,3.421965318,20.57803468
85054,119,3.445378151,40.01680672
85058,1,4,52
85060,3,4.333333333,22.33333333
85063,2,4.5,11
85064,1,4,4
85068,1,4,3
85071,1,2,3
85072,1,4,31
85073,104,3.009615385,21.5
85076,1,5,4
85078,3,3.333333333,7
85080,7,4.285714286,4.857142857
85082,1,5,12
85083,15,3.933333333,9.533333333
85085,158,3.367088608,22.16455696
85086,169,3.485207101,12.81065089
85087,11,3.545454545,7.454545455
85118,15,3.533333333,15.93333333
85119,16,3.8125,11.5
85120,48,3.708333333,9.666666667
85122,51,3.411764706,9.137254902
85128,6,3.333333333,6.833333333
85132,17,3.235294118,10.29411765
85138,30,3.533333333,11.03333333
85139,46,3.065217391,12.97826087
85140,30,3.4,11.66666667
85142,133,3.54887218,17.7593985
85143,32,3.1875,10.78125
85190,1,3,80
85193,1,3,17
